"Status","Address","Unit","Bedrooms","Baths","Gross Rent","Ready Date","Commission","Media","Class","Notes"
"Can Show KWMD ","301 EAST 38TH STREET","12H","1","1","","IMM","Full Month","MP Link","ELEVATOR","Smaller living room. "
"Can Show KWMD ","301 EAST 38TH STREET","2F","1","1","$4,100","vacant - ready 6/27","Full Month","MP LINK","ELEVATOR","LL Will add dishwasher. "
"Can Show KWMD ","301 EAST 38TH STREET","3G","1","1","$4,275","vacant - IMM","Full Month","MP LINK","ELEVATOR","Will have new kitchen "
"Can Show KWMD ","301 EAST 38TH STREET","17E","2","1","$5,995","vacant ready 7/22 - 8/1ish ","Full Month","MP WITH RENO","ELEVATOR","Will have full E-Line renovation added as per MP "
"Can Show KWMD ","301 EAST 38TH STREET","9H","1","","4,250.00","vacant - ready 07/20/2026","Full Month","MP LINK","ELEVATOR","Will have new kitchen "
"Can Show KWMD ","301 EAST 38TH STREET","7H","1","1","$4,150.00","vacant - ready soon  ","Full Month","","ELEVATOR",""
"Can Show - email Karolina for appt","301 EAST 38TH STREET","6G","1","1","$4,325","occupied 7/31 MO 8/15ish MI","Full Month","MP LINK","ELEVATOR","Will have a dishwater added"
"","LIVE on Streeteasy","","","","","","","","",""
"","New","","","","","","","","",""
"","App","","","","","","","","",""
"","Rented","","","","","","","","",""
"","Note","","","","","","","","",""
