266 Bleecker|#20304||2BR/2BTH with Terrace and W/D|$13,000|8/3/26
307 Mott|3A|APP|1BR|$4,600|vacant
26 Grove|nada||||
49 West 11th|#30||1BR|$4,670|vacant
71 West 12th|1G||1BR|$6,100|9/1/26
71 West 12th|4H|app approved but might back out|1BR|$6,300|8/4/26
20 Fifth Ave|1E|app approved|2BR/2BTH with W/D __ rent stab|$8,255|8/7/26
20 Fifth Ave|2B|price drop|1BR|$8,600|vacant
20 Fifth Ave|9B||1BR|$9,200|vacant
20 Fifth Ave|14A||1BR with W/D|$9,200|10/1/26
96 FIFTH|3C||2BR/1BTH|$9,250|09/01/26
96 FIFTH|3H||1BR|$6,600|vacant
96 FIFTH|5N||1BR|$6,700|vacant
96 FIFTH|8P||studio|$5,000|vacant
96 FIFTH|9L||1BR|$6,700|09/01/26
96 FIFTH|11L|rented|studio|$5,100|vacant
145 East 16|3C||2BR/2BTH WITH W/D AND DINING ALCOVE 3rd BR|$11,300|09/01/26
145 East 16|5F||studio|$4,800|09/01/26
145 East 16|6F||studio|$4,800|09/01/26
145 East 16|15H|RENTED|Alcove studio|$5,800|
145 East 16|16B||1BR|$6,800|08/04/26
235 West 22|2Y|now 1+1|STUDIO with outdoor patio|$4,300|vacant
235 West 22|7J|app approved|1BR|$5,500|vacant
455 Second Ave|5A|1 month OP + 13th month free (1+1)|jr 1BR|$3700 (neg to ~$2900)|vacant
455 Second Ave|5B|1 month OP + 13th month free (1+1)|jr 1BR|$3,700|vacant
517 Third Ave|7||studio|$4000 (very negotiable)|vacant
165 East 35|3C|now 1+1|studio with balcony|$4,050|vacant
165 East 35|4A||1BR easy flex 2 with balcony|$5,400|09/01/26
165 East 35|4C||studio with balcony|$4100 (neg)|vacant
165 East 35|5H|now 1+1|studio with balcony|$4100 (neg)|vacant
165 East 35|7G||studio with balcony|$4,100|vacant
165 East 35|10C||studio with balcony|$4,100|10/01/26
165 East 35|11H||studio with balcony|$4,100|09/01/26
165 East 35|14H||studio with balcony|$4,050|09/01/26
156 East 37th|1C|APPS|1BR|$5,000|3-Aug
137 East 38|2A||2BR|$8,000|vacant
137 East 38|2D||alcove studio|$4,300|vacant
140 East 46|2B|1+1|1BR|$4,300|vacant
140 East 46|2S||studio|$4100 (very negotiable)|vacant
140 East 46|4A||1BR|$4,300|09/01/26
140 East 46|4D||studio|$4100 (very negotiable)|vacant?
140 East 46|4N||1BR|$4,300|09/01/26
140 East 46|5F|1+1|huge studio|$4050 (very negotiable)|vacant
140 East 46|6M|rented|1BR|$4,300|vacant?
140 East 46|6K||1BR|$4,300|vacant?
140 East 46|7K|rented|1BR|$4,300|vacant
140 East 46|7R|rented|1BR|$4,300|vacant
140 East 46|9H|APP APPROVED|1BR|$4,300|vacant
140 East 46|11K|APP|1BR|$4,300|08/25/26
140 East 46|11T||studio|$4100 very negotiable|vacant
300 East 49th|1B|rented|2BR (bathroom ensuite thru bedroom)|$4,800|09/01/26
987 First Ave|3R||1BR with Terrace|$4,300|vacant
20 Beekman Place|nada||||
145 West 55th|6E|app approved|1BR|$4,450|vacant
145 West 55th|7A|app approved|1BR|$4,900|vacant
145 West 55th|11C||1BR|$5,000|09/01/26
145 West 55th|14C||2BR/2BTH|$7,300|vacant
140 West 55th|4C||1BR|$3,900|vacant
159 East 55|4A||alcove studio|$4,100|10/1/26
160 East 55th|7F||studio|$4,100|10/1/26
161 East 55th|2C||studio|$4,050|vacant
162 East 55th|5C||1BR|$4,200|8/3/2026?
922 Third Ave|4R||1BR easy flex 2|$4,250|vacant
405 East 56|2E||1BR easy flex 2|$5,000|9/1/26
405 East 56|9L||alcove studio?|$4,200|vacant
405 East 56|9LA||alcove studio?|$4,400|10/1/26
405 East 56|10M|APP|alcove studio|$4,400|9/1/26
1075 First Ave|1C|1 MONTH OP|Studio|$3995 (negot to $2600)|vacant
1075 First Ave|3A||1BR easy flex 2|$4,250|09/01/26
401 East 58th|B8|1 month OP|Studio|$4050 (VERY negotiable)|vacant
157 East 57th|3A||2BR/2BTH with D/A|$8,400|9/1/2026
157 East 57th|8C||2BR/2BTH easy flex 3|$8,000|9/1/2026
157 East 57th|12E||alcove studio|$4,600|vacant
157 East 57th|16A||2BR/2BTH with Terrace and W/D|$8,100|vacant
157 East 57th|17C||1BR|$6,200|vacant
200 West 58th|nada||||
257 East 61st|nada||||
37 East 65th|2A||studio|$4,000|09/01/26
25 West 68th|1E||1BR with super high ceilings|$5,800|vacant
25 West 68th|1A||2BR/2BTH|$8,400|vacant UNDER GUT RENO
25 West 68th|3F||2BR/2BTH with D/A and W/D|$10,100|28-Aug
219 East 69th|5K||2BR/2BTH (NO w/d)|$8,400|vacant
219 East 69th|9F|app approved but might back out|Jr 4|$6,100|vacant
219 East 69th|10D|app approved but might back out|2BR/2BTH|$8,700|vacant
219 East 69th|10HJ|app approved but might back out|4BR/4BTH|$17,500|vacant
219 East 69th|12L||1BR|$5,900|8/24/26
224 East 70th|nada||||
151 East 71st|#304||2BR/3BTH|$9,400|1-Sep
147 East 72nd|5F||1BR|$4,400|vacant
166 West 72nd|3C|APP|1BR with W/D|$5,900|vacant
166 West 72nd|8D|RENTED|1BR|$5,900|
166 West 72nd|9D|APP|1BR|$5,900|1-Sep
160 West 73rd|1C||studio|$3,900|vacant
160 West 73rd|1F||1BR|$5,300|vacant
160 West 73rd|6E||studio|$3,850|vacant
160 West 73rd|7K||studio|$3,850|09/01/26
160 West 73rd|8K||studio|$3,850|10/01/26
160 West 73rd|10E||studio|$4,000|09/01/26
1043 Lexington|4R|rented|studio with nook|same as above|vacant?
1427 York|5E|1 MONTH OP|2BR|$4650 negotiable|vacant
1427 York|2B|1 MONTH OP|1BR|4250 (very negotiable)|vacant
1427 York|2C|RENTED|2BR|$4,650|vacant
1427 York|0E|1 MONTH OP|2BR|$4,650|vacant
24 East 80th|5A||1BR|$4,800|09/01/26
240 East 82nd|2K|price drop|1BR with Balcony|$5,600|vacant
240 East 82nd|10K||1BR easy flex 2 with Balcony|$6,000|09/01/26
240 East 82nd|18B||Jr 4|$6,800|vacant
240 East 82nd|20F||studio|$4,150|09/01/26 tenant not responding
120 West 86th|nada||||
1134 Madison Ave|4F||1BR|$4,200|vacant
163 East 87th|1RE|1 MONTH OP|1BR|$4100 negotiable|vacant
167 East 87th|5RW|1 MONTH OP|1BR|$4300 negotiable|vacant
167 East 87th|2RW||1BR|$4,300|1-Sep
400 East 89th|6J||3BR/3BTH with alcove and Washer/Dryer!|$15,000|vacant
400 East 89th|7J||3BR/3BTH with alcove and Washer/Dryer!|$15,000|vacant
401 East 88th|15D||2BR/2BTH with alcove dining area (easy flex 3) plus W/D and MASSIVE PRIVATE TERRACE!|$8,800|vacant
222 East 89th|#12|1+1|1BR|$4200 very negotiable|vacant
222 East 89th|#3||studio with PATIO!|$4000 very negotiable|vacant
222 East 89th|#16||1BR|$4,200|vacant
220 East 89th|#15||1BR with unique shower in the kitchen|$4200 very negotiable to ~$3000|vacant
224 East 89th|#20||studio|$4050 very negotiable|8/25/2026
226 East 89th|#7||1BR|$4,200|9/1/2026
228 East 89th|#4W||floorthru railroad 5 room apt|$4,650|8/1/2026
26 East 91st|nada||||
206 West 104th|#45||1BR with WASHER/DRYER|$4,450|VACANT
600 West 178th Street|#41|app?|3BR|$4,400|vacant
4960 Broadway|1D|app?|studio|$2800 very negotiable|vacant
150 Remsen|#22|RENTED|1BR|$5,000|
80 Cranberry|6G|RENTED|1BR|$5,800|
80 Cranberry|6L||studio|$4,050|VACANT
80 Cranberry|8E||studio|$4,050|VACANT
